class,order,family
Insecta,Coleoptera,Chrysomelidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Insecta,Orthoptera,Tettigoniidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Insecta,Coleoptera,Elateridae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Collembola,Entomobryomorpha,Entomobryidae
Insecta,Lepidoptera,Geometridae
Collembola,unknown,unknown
Arachnida,Araneae,Clubionidae
Insecta,Hemiptera,Aphididae
Insecta,Hemiptera,Aphididae
Insecta,Hemiptera,Miridae
Insecta,Diptera,Cecidomyiidae
Insecta,Dermaptera,Forficulidae
Insecta,Diptera,unknown
Insecta,Coleoptera,Nitidulidae
Insecta,Hemiptera,unknown
Insecta,Diptera,Cecidomyiidae
Insecta,Hemiptera,Miridae
Insecta,Orthoptera,unknown
Insecta,Diptera,Cecidomyiidae
Insecta,Orthoptera,Acrididae
Insecta,Diptera,Cecidomyiidae
Arachnida,Araneae,unknown
Collembola,Entomobryomorpha,Entomobryidae
Insecta,Lepidoptera,Geometridae
Insecta,Diptera,Cecidomyiidae
Malacostraca,Isopoda,Porcellionidae
Insecta,Diptera,Cecidomyiidae
Insecta,Coleoptera,unknown
Insecta,Diptera,unknown
Arachnida,Araneae,Theridiidae
Insecta,Dermaptera,Forficulidae
Insecta,Hemiptera,Miridae
Insecta,Diptera,Dixidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,unknown
Insecta,Hemiptera,Miridae
Insecta,Hemiptera,Aphididae
Insecta,Lepidoptera,Geometridae 
Insecta,Hymenoptera,Formicidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Drosophilidae
Insecta,Hemiptera,Cicadellidae
Malacostraca,Isopoda,Philosciidae
Insecta,Hemiptera,Cicadidae
Insecta,Diptera,Cecidomyiidae
Insecta,Dermaptera,unknown
Arachnida,Araneae,Theridiidae
Insecta,Dermaptera,unknown
Insecta,Coleoptera,unknown
Arachnida,Araneae,Linyphiidae
Arachnida,Araneae,Philodromidae
Insecta,Diptera,unknown
Insecta,Hemiptera,Aphididae
Insecta,Diptera,Cecidomyiidae
Insecta,Lepidoptera,unknown
Insecta,Diptera,unknown
Insecta,Hemiptera,unknown
Diplopoda,Julida,Blaniulidae
Insecta,Coleoptera,Tenebrionidae
Insecta,Coleoptera,Elateridae
Insecta,Dermaptera,unknown
Insecta,Lepidoptera,unknown
Gastropoda,Stylommatophora,unknown
Arachnida,Acari ,unknown
Insecta,Diptera,Cecidomyiidae
Insecta,Hymenoptera,unknown
Arachnida,Araneae,Thomisidae
Insecta,Orthoptera,Acrididae
Insecta,Lepidoptera,Noctuidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Arachnida,Acari ,unknown
Collembola,Entomobryomorpha,Paronellidae
Insecta,Diptera,Cecidomyiidae
Insecta,Hemiptera,Reduviidae
Insecta,Hemiptera,Miridae
Insecta,Diptera,Cecidomyiidae
Insecta,Hemiptera,Aphididae
Arachnida,Araneae,unknown
Insecta,Diptera,unknown
Insecta,Hemiptera,Aphididae
Collembola,Entomobryomorpha,Tomoceridae
Insecta,Diptera,unknown
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Insecta,Diptera,Cecidomyiidae
Insecta,Hemiptera,unknown
Insecta,Diptera,Cecidomyiidae
Insecta,Hymenoptera,unknown
Insecta,Diptera,Cecidomyiidae
Insecta,Hymenoptera,Formicidae
